,rate,comps,nodes,LL_mean,LL_sd
221,0.001,5,51,-3.79654,0.4964
222,0.001,5,53,-3.42149,0.540689
223,0.001,5,54,-3.65899,0.340615
224,0.001,5,56,-3.88476,0.195144
225,0.001,5,58,-3.87201,0.219853
226,0.001,5,60,-3.95658,0.349016
227,0.001,5,61,-3.34935,0.985435
228,0.001,5,63,-3.95514,0.619343
229,0.001,5,65,-3.66484,0.434828
230,0.001,5,67,-3.80131,0.645098
231,0.001,5,68,-3.45078,0.166759
232,0.001,5,70,-3.48075,0.260502
233,0.001,5,72,-3.73425,0.261219
234,0.001,5,73,-3.43487,0.745679
235,0.001,5,75,-3.54791,0.603756
236,0.001,5,77,-3.95332,0.311367
237,0.001,5,79,-3.79935,0.496592
238,0.001,5,80,-3.72514,0.56051
239,0.001,5,82,-3.75795,0.445169
240,0.001,5,84,-3.96019,0.302761
241,0.001,5,86,-3.79235,0.348645
242,0.001,5,87,-3.77135,0.282334
243,0.001,5,89,-3.65232,0.170975
244,0.001,5,91,-3.76661,0.174073
245,0.001,5,93,-3.6787,0.324659
246,0.001,5,94,-3.56003,0.568619
247,0.001,5,96,-3.71048,0.239082
248,0.001,5,98,-3.54151,0.676812
249,0.001,5,100,-3.53414,0.684841
250,0.001,6,18,-3.56054,0.154736
251,0.001,6,19,-3.50988,0.322446
252,0.001,6,21,-3.50324,0.434842
253,0.001,6,23,-3.58586,0.197118
254,0.001,6,24,-3.55591,0.243466
255,0.001,6,26,-3.29891,0.478262
256,0.001,6,28,-3.39816,0.212548
257,0.001,6,29,-3.48191,0.387792
258,0.001,6,31,-3.70008,0.126297
259,0.001,6,33,-3.51943,0.375134
260,0.001,6,34,-3.73886,0.338868
261,0.001,6,36,-3.39605,0.221
262,0.001,6,38,-3.33215,0.197769
263,0.001,6,39,-3.51567,0.205221
264,0.001,6,41,-3.48907,0.334172
265,0.001,6,43,-3.47263,0.492075
266,0.001,6,44,-3.31212,0.230451
267,0.001,6,46,-3.37133,0.123258
268,0.001,6,48,-3.5304,0.207205
269,0.001,6,49,-3.21519,0.285813
270,0.001,6,51,-3.2517,0.386544
271,0.001,6,53,-3.56096,0.399765
272,0.001,6,54,-3.43529,0.325766
273,0.001,6,56,-3.23621,0.177791
274,0.001,6,58,-3.39607,0.495444
275,0.001,6,59,-3.45862,0.278622
276,0.001,6,61,-3.16781,0.306486
