rsn,bucket,vet11950,vet11951,vet11952,vet11953,vet01950,vet01951,vet01952,vet01953
151,151-155,0.348179011,0.204778598,0.159062257,0.128223033,0.358966866,0.190287379,0.175600157,0.187124018
156,156-160,0.357458576,0.198620321,0.141128347,0.120002121,0.302550846,0.201690945,0.192197191,0.179567736
161,161-165,0.338830626,0.202134675,0.138201923,0.138162687,0.294881318,0.169866751,0.153131989,0.162258496
166,166-170,0.333738386,0.197918326,0.156479727,0.129740337,0.309279038,0.228910498,0.232760976,0.169424714
171,171-175,0.337667263,0.190901663,0.135693947,0.128470652,0.306474347,0.177858731,0.167664072,0.191337848
176,176-180,0.326302784,0.194950294,0.138552901,0.12645482,0.293742781,0.193396547,0.1869299,0.206216112
181,181-185,0.33010948,0.180713567,0.149042912,0.130493218,0.362035426,0.190895024,0.170762174,0.179236026
186,186-190,0.323998822,0.181765105,0.151990015,0.128567684,0.266273142,0.199351978,0.191970527,0.171512583
191,191-195,0.320783662,0.17538471,0.141561761,0.130525075,0.28446311,0.193243521,0.215644487,0.163145254
196,196-200,0.246629582,0.156529569,0.146505559,0.135217793,0.261525925,0.174218968,0.176802101,0.163442579
201,201-205,0.228888343,0.169863378,0.153917653,0.138517721,0.207261678,0.178991609,0.184672729,0.165600376
206,206-210,0.233162862,0.165943428,0.148467607,0.122663144,0.270934312,0.193621642,0.158396489,0.208437515
211,211-215,0.275979956,0.162370863,0.149190373,0.128525409,0.250900821,0.191082989,0.185286086,0.149506025
216,216-220,0.246467219,0.158443218,0.140087507,0.135659428,0.240841394,0.172551872,0.175741941,0.187975782
221,221-225,0.252829209,0.160884152,0.155200486,0.135006293,0.240955856,0.194777355,0.175872164,0.158422737
226,226-230,0.224363836,0.156279158,0.146979785,0.131690536,0.226027893,0.185338656,0.17823372,0.151814862
231,231-235,0.225542538,0.170539065,0.152412874,0.128638829,0.208240365,0.225079635,0.180467475,0.157206114
236,236-240,0.233691156,0.165918217,0.149186666,0.120216068,0.247123663,0.199440541,0.177282931,0.184191004
241,241-245,0.213639158,0.166848234,0.141603289,0.132831109,0.215226272,0.203522842,0.164420835,0.164812313
246,246-250,0.22071973,0.162241167,0.144677758,0.122887082,0.24637054,0.194099741,0.150463206,0.133845635
251,251-255,0.226824327,0.156237319,0.150925511,0.126201549,0.210571288,0.179350752,0.210959218,0.159925516
256,256-260,0.226698381,0.16437776,0.137809556,0.125769209,0.231004655,0.199944663,0.206574986,0.178674202
261,261-265,0.209263462,0.160535673,0.145079747,0.137238507,0.227036971,0.156199027,0.193697447,0.192270321
266,266-270,0.221651889,0.169148797,0.142138187,0.127507107,0.213438658,0.17999949,0.168942753,0.174110606
271,271-275,0.235578721,0.157419447,0.136535653,0.140539724,0.223452149,0.184437635,0.201237837,0.152795128
276,276-280,0.249805068,0.16801477,0.148492957,0.142858206,0.246817382,0.200576512,0.155215248,0.143670966
281,281-285,0.198933196,0.174166399,0.149748658,0.135479517,0.252998728,0.237719326,0.161640154,0.182175718
286,286-290,0.222695076,0.158922427,0.146129116,0.129433449,0.238026816,0.189556991,0.184562493,0.19057808
291,291-295,0.220910329,0.158072905,0.143636753,0.122063488,0.239474087,0.169645359,0.192159852,0.192855825
296,296-300,0.242980343,0.162843572,0.110073577,0.125079553,0.250074462,0.191383116,0.170319003,0.153983023
301,301-305,0.235300083,0.15815469,0.146777368,0.128416806,0.241866263,0.204829776,0.219427809,0.192942735
